,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,license,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,projectrank_placing,dockerhub_id,docs_url,labels,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
110,flair,flairNLP/flair,nlp,,{},278.0,A very simple framework for state-of-the-art NLP.,15,False,flair,conda-forge/python-flair,,4182.0,4182.0,https://pypi.org/project/flair,149627.0,150464.0,https://anaconda.org/conda-forge/python-flair,2020-07-28 19:00:35.095,2025-04-22 14:57:32.879,2025-04-22 14:57:32.879000,61140.0,14.0,2.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
111,stanza,stanfordnlp/stanza,nlp,,{},78.0,"Stanza: A Python NLP Library for Many Human Languages, by the Stanford NLP Group.",15,False,stanza,stanfordnlp/stanza,,4345.0,4345.0,https://pypi.org/project/stanza,1115384.0,1115509.0,https://anaconda.org/stanfordnlp/stanza,2020-03-14 02:34:20.643,2025-03-25 16:28:39.162,2025-03-25 16:28:39.162000,9678.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,
112,torchvision,pytorch/vision,image,,{},692.0,Image and video datasets and models for torch deep learning.,15,False,torchvision,conda-forge/torchvision,,24.0,24.0,https://pypi.org/project/torchvision,33961669.0,34043206.0,https://anaconda.org/conda-forge/torchvision,2021-03-09 23:13:43.284,2026-08-24 17:58:00.745,2026-08-24 17:58:00.745000,5299965.0,32.0,2.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
113,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,{},124.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",15,False,ocrmypdf,conda-forge/ocrmypdf,,1588.0,1588.0,https://pypi.org/project/ocrmypdf,1187756.0,1190114.0,https://anaconda.org/conda-forge/ocrmypdf,2021-02-25 13:52:39.515,2026-08-05 07:56:00.221,2026-08-05 07:56:00.221000,155682.0,55.0,1.0,,,,,,,,,,,,,,ocrmypdf,ocrmypdf,,,,,,
114,EasyOCR,JaidedAI/EasyOCR,ocr,,{},129.0,,15,False,easyocr,,,18181.0,18181.0,https://pypi.org/project/easyocr,3378987.0,3378987.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
115,hvPlot,holoviz/hvplot,data-viz,,{},54.0,A high-level plotting API for the PyData ecosystem built on HoloViews.,15,False,hvplot,conda-forge/hvplot,,7538.0,7538.0,https://pypi.org/project/hvplot,1211917.0,1226418.0,https://anaconda.org/conda-forge/hvplot,2020-06-02 12:42:34.211,2025-12-18 15:35:41.427,2025-12-18 15:35:41.427000,1073120.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,
116,missingno,ResidentMario/missingno,data-viz,,{},18.0,Missing data visualization module for Python.,15,False,missingno,conda-forge/missingno,,23634.0,23634.0,https://pypi.org/project/missingno,485039.0,505420.0,https://anaconda.org/conda-forge/missingno,2024-03-02 01:06:25.066,2025-09-17 20:28:20.219,2025-09-17 20:28:20.219000,591077.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
117,VisPy,vispy/vispy,data-viz,,{},211.0,High-performance interactive 2D/3D data visualization library.,15,False,vispy,conda-forge/vispy,,2328.0,2328.0,https://pypi.org/project/vispy,1282274.0,1302851.0,https://anaconda.org/conda-forge/vispy,2020-09-24 16:39:06.228,2026-05-20 16:45:50.072,2026-05-20 16:45:50.072000,1458885.0,38.0,2.0,,,['jupyter'],,,,,,,vispy,https://www.npmjs.com/package/vispy,30.0,,,,,,,,,
118,Lime,marcotcr/lime,interpretability,,{},62.0,Explaining the predictions of any machine learning classifier.,15,False,lime,conda-forge/lime,,9866.0,9866.0,https://pypi.org/project/lime,461972.0,467365.0,https://anaconda.org/conda-forge/lime,2020-06-28 01:02:39.858,2025-04-22 14:56:30.659,2025-04-22 14:56:30.659000,399089.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,
119,igraph,igraph/python-igraph,graph,,{},81.0,An open source and free collection of network analysis tool.,15,False,python-igraph,conda-forge/igraph,,4951.0,4951.0,https://pypi.org/project/python-igraph,565013.0,582700.0,https://anaconda.org/conda-forge/igraph,2020-08-20 13:08:22.426,2025-12-27 19:06:26.854,2025-12-27 19:06:26.854000,1273530.0,35.0,1.0,,,,,,,,,,,,,,,,,,,,,
